date,vwretd,ewretd,sprtrn
2016-07-18,0.002602,0.003147,0.002382
2016-07-19,-0.002363,-0.004728,-0.001435
2016-07-20,0.004629,0.0062,0.00427
2016-07-21,-0.003322,-0.001336,-0.003612
2016-07-22,0.0045,0.004519,0.004554
2016-07-25,-0.003154,-0.003686,-0.003011
2016-07-26,0.001613,0.004149,0.000323
2016-07-27,-0.001242,0.001903,-0.001199
2016-07-28,0.001673,-8.1e-05,0.001606
2016-07-29,0.00263,0.003096,0.001631
2016-08-01,-0.002254,-0.002145,-0.00127
2016-08-02,-0.007105,-0.008437,-0.006362
2016-08-03,0.004385,0.007186,0.003134
2016-08-04,0.000814,0.002477,0.000213
2016-08-05,0.008058,0.008416,0.008603
2016-08-08,0.000104,0.002446,-0.000907
2016-08-09,0.001069,0.00082,0.00039
2016-08-10,-0.002555,-0.004809,-0.002865
2016-08-11,0.004818,0.005221,0.004735
2016-08-12,-0.000494,0.000413,-0.000796
2016-08-15,0.004008,0.006996,0.002793
2016-08-16,-0.005477,-0.003704,-0.005479
2016-08-17,0.001044,-0.001398,0.001869
2016-08-18,0.003387,0.005747,0.0022
2016-08-19,-0.001828,-0.001545,-0.00144
2016-08-22,-0.000427,0.000429,-0.000563
2016-08-23,0.002825,0.004417,0.001952
2016-08-24,-0.006035,-0.007102,-0.00524
2016-08-25,-0.000675,-8e-06,-0.001365
2016-08-26,-0.001829,-0.001858,-0.001579
2016-08-29,0.005225,0.005103,0.005228
2016-08-30,-0.001514,-0.000376,-0.001954
2016-08-31,-0.002578,-0.00381,-0.002376
2016-09-01,0.000748,0.000703,-4.1e-05
2016-09-02,0.005882,0.007864,0.004201
2016-09-06,0.003391,0.005607,0.002982
2016-09-07,0.000821,0.002865,-0.000146
2016-09-08,-0.002078,0.001986,-0.002223
2016-09-09,-0.02501,-0.023198,-0.024522
2016-09-12,0.01334,0.008237,0.014677
2016-09-13,-0.015849,-0.015948,-0.014831
2016-09-14,-0.000526,0.000174,-0.000588
2016-09-15,0.010099,0.007968,0.010109
2016-09-16,-0.003865,-0.001614,-0.003772
2016-09-19,0.001385,0.003709,-1.9e-05
2016-09-20,-0.000363,0.000419,0.000299
2016-09-21,0.011864,0.011189,0.010917
2016-09-22,0.007814,0.0098,0.0065
2016-09-23,-0.00594,-0.004156,-0.005737
2016-09-26,-0.008221,-0.007691,-0.008588
2016-09-27,0.0051,0.002947,0.006444
2016-09-28,0.00671,0.007085,0.005296
2016-09-29,-0.009216,-0.008468,-0.009321
2016-09-30,0.00783,0.007534,0.007968
2016-10-03,-0.00305,-0.000568,-0.003261
2016-10-04,-0.0056,-0.006696,-0.004956
2016-10-05,0.00494,0.005995,0.004297
2016-10-06,-0.000753,-0.002994,0.000482
2016-10-07,-0.003829,-0.004779,-0.003253
2016-10-10,0.005594,0.006899,0.004606
2016-10-11,-0.012616,-0.013027,-0.012447
2016-10-12,0.000932,-0.001019,0.001147
2016-10-13,-0.003327,-0.006476,-0.003099
2016-10-14,-0.000324,-0.001768,0.000202
2016-10-17,-0.002525,-0.00312,-0.003038
2016-10-18,0.006561,0.005962,0.00616
2016-10-19,0.003002,0.004693,0.002192
2016-10-20,-0.001641,-0.000316,-0.001376
2016-10-21,-0.000113,-0.000547,-8.4e-05
2016-10-24,0.004434,0.001843,0.00475
2016-10-25,-0.004367,-0.005666,-0.003798
2016-10-26,-0.002777,-0.005722,-0.00174
2016-10-27,-0.003986,-0.007623,-0.002987
2016-10-28,-0.002573,-0.003867,-0.003108
2016-10-31,0.00043,-0.001156,-0.000122
2016-11-01,-0.006771,-0.007474,-0.006787
2016-11-02,-0.00768,-0.010496,-0.006525
